date,sku,SK,promo_flag,p10,p50,p90
2025-10-31,74400,СК Столица,0,707.7856229596986,808.2474669094667,2580.6982531034005
2025-11-30,74400,СК Столица,0,0.0,66.68595147552017,1611.3973975417264
2025-12-31,74400,СК Столица,0,57.39054761024118,246.72361451658347,1901.7672461614436
2026-01-31,74400,СК Столица,0,1260.9598328923812,1291.6651917340243,1816.4247785361329
2026-02-28,74400,СК Столица,0,1558.539636597368,1558.5753997895235,4885.45743528474
2026-03-31,74400,СК Столица,0,728.8048757163771,838.5814572627708,2164.8453619758643
2026-04-30,74400,СК Столица,0,1298.8502835887946,1404.801947898935,2545.3186759919327
2026-05-31,74400,СК Столица,0,0.0,63.265533376224965,847.057985726634
2026-06-30,74400,СК Столица,0,999.5314751747866,1144.5478823485628,1907.7194582259692
2026-07-31,74400,СК Столица,0,535.9247598188812,657.3445661892982,1239.6530897310242
2025-08-31,737610,СК Столица,0,0.0,0.0,259.15058687892395
2025-09-30,737610,СК Столица,0,0.0,0.0,159.34790598070902
2025-10-31,737610,СК Столица,0,0.0,0.0,182.14845138294467
2025-11-30,737610,СК Столица,0,4.262747363003561,4.383425467623795,616.7014232812743
2025-12-31,737610,СК Столица,0,0.8825668815990781,9.359308654769029,502.4069623720287
2026-01-31,737610,СК Столица,0,121.76659229879132,147.32909417449747,755.1224647599038
2026-02-28,737610,СК Столица,0,154.50694380027244,239.79708138302132,1165.7629507935176
2026-03-31,737610,СК Столица,0,41.85362632961235,44.55147290767198,649.9631896650271
2026-04-30,737610,СК Столица,0,92.43874765658964,100.1556754012412,468.98313503920406
2026-05-31,737610,СК Столица,0,142.49035765917176,172.51886967229473,431.0591993548007
2026-06-30,737610,СК Столица,0,0.0,48.4723451189171,471.2258501668885
2026-07-31,737610,СК Столица,0,0.0,27.275066665749584,153.52380920759146
2025-08-31,737920,СК Столица,0,8.2283996269926,18.604452863895403,145.47598811364688
2025-09-30,737920,СК Столица,0,0.0,22.841119067071475,132.62599247961748
2025-10-31,737920,СК Столица,0,5.5481942363587615,39.010296950830714,159.2080964103254
2025-11-30,737920,СК Столица,0,0.0,28.1072333532116,110.6803457691011
2025-12-31,737920,СК Столица,0,0.0,0.0,130.9153267737288
2026-01-31,737920,СК Столица,0,0.0,2.789410401754585,73.38447642080396
2026-02-28,737920,СК Столица,0,0.0,0.0,173.45637586367795
2026-03-31,737920,СК Столица,0,0.0,0.0,124.9396351006336
2026-04-30,737920,СК Столица,0,0.0,0.0,65.96998901284292
2026-05-31,737920,СК Столица,0,0.0,0.0,120.83458255940788
2026-06-30,737920,СК Столица,0,0.9078845227105627,5.968275242794359,100.02949872003086
2026-07-31,737920,СК Столица,0,0.0,3.6170576825189378,109.50100869646568
2025-08-31,743097,СК Столица,0,274.7476291456139,319.4192443603723,792.52879719334
2025-09-30,743097,СК Столица,0,1006.0181205090134,1114.5665855161828,1527.1879131747437
2025-10-31,743097,СК Столица,0,619.5877082731531,677.3764685637732,1273.7447552664075
